ipc_sections,description,
255,"Counterfeiting Government stamp.—Whoever counterfeits, or knowingly performs any part
of the process of counterfeiting, any stamp issued by Government for the purpose of revenue shall be
punished with 1 [imprisonment for life] or with imprisonment of either description for a term which may
extend to ten years, and shall also be liable to fine.
Explanation.—A person commits this offence who counterfeits by causing a genuine stamps of one
denomination to appear like a genuine stamp of a different denomination.",
256,"Having possession of instrument or material for counterfeiting Government stamp.—
Whoever has in his possession any instrument or material for the purpose of being used, or knowing or
having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued
by Government for the purpose of revenue, shall be punished with imprisonment of either description for
a term which may extend to seven years, and shall also be liable to fine.",
257,"Making or selling instrument for counterfeiting Government stamp.—Whoever makes or
performs any part of the process of making, or buys, or sells, or disposes or, any instrument for the
purpose of being used, or knowing or having reason to believe that it is intended to be used, for the
purpose of counterfeiting any stamp issued by Government for the purpose of revenue, shall be punished
with imprisonment of either description for a term which may extend to seven years, and shall also be
liable to fine.",
258,"Sale of counterfeit Government stamp.—Whoever sells, or offers for sale, any stamp which he
knows or has reason to believe to be a counterfeit of any stamp issued by Government for the purpose of
revenue, shall be punished with imprisonment of either description for a term which may extend to seven
years, and shall also be liable to fine.",
259,"Having possession of counterfeit Government stamp.—Whoever has in his possession any
stamp which he knows to be a counterfeit of any stamp issued by Government for the purpose of revenue,
intending to use, or dispose of the same as a genuine stamp, or in order that it may be used as a genuine
stamp, shall be punished with imprisonment of either description for a term which may extend to seven
years, and shall also be liable to fine.",
260,"Using as genuine a Government stamp known to be counterfeit.—Whoever uses as genuine
any stamp, knowing it to be a counterfeit of any stamp issued by Government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, or
with fine, or with both.",
261,"Effacing writing from substance bearing Government stamp, or removing from document
a stamp used for it, with intent to cause loss to Government.—Whoever, fraudulently or with intent to
cause loss to the Government, removes or effaces from any substance, bearing any stamp issued by
Government for the purpose of revenue, any writing or document for which such stamp has been used, or
removes from any writing or document a stamp which has been used for such writing or document, in
order that such stamp may be used for a different writing or document, shall be punished with
imprisonment of either description for a term which may extend to three years, or with fine, or with both.",
262,"Using Government stamp known to have been before used.—Whoever, fraudulently or with
intent to cause loss to the Government, uses for any purpose a stamp issued by Government for the
purpose of revenue, which he knows to have been before used, shall be punished with imprisonment of
either description for a term which may extend to two years, or with fine, or with both.",
263,"Erasure of mark denoting that stamp has been used.—Whoever, fraudulently or with intent
to cause loss to Government, erases or removes from a stamp issued by Government for the purpose of
revenue, any mark, put or impressed upon such stamp for the purpose of denoting that the same has been
used, or knowingly has in his possession or sells or disposes of any such stamp from which such mark has
been erased or removed, or sells or disposes of any such stamp which he knows to have been used, shall
be punished with imprisonment of either description for a term which may extend to three years, or with
fine, or with both.",
263A,"Prohibition of fictitious stamps.—(1) Whoever—
(a) makes, knowingly utters, deals in or sells any fictitious stamp, or knowingly uses for any
postal purpose any fictitious stamp, or
(b) has in his possession, without lawful excuse, any fictitious stamp, or
(c) makes or, without lawful excuse, has in his possession any die, plate, instrument or materials
for making any fictitious stamp,
shall be punished with fine which may extend to two hundred rupees.
(2) Any such stamp, die, plate, instrument or materials in the possession of any person for making any
fictitious stamp 2 [may be seized and, if seized] shall be forfeited.
(3) In this section “fictitious stamp” means any stamp falsely purporting to be issued by Government
for the purpose of denoting a rate of postage, or any facsimile or imitation or representation, whether on
paper or otherwise, of any stamp issued by Government for that purpose.
(4) In this section and also in sections 255 to 263, both inclusive, the word “Government”, when used
in connection with, or in reference to any stamp issued for the purpose of denoting a rate of postage, shall,
notwithstanding anything in section 17, be deemed to include the person or persons authorized by law to
administer executive government in any part of India, and also in any part of Her Majesty's dominions or
in any foreign country.",
264,"Fraudulent use of false instrument for weighing.—Whoever, fraudulently uses any instrument
for weighing which he knows to be false, shall be punished with imprisonment of either description for a
term which may extend to one year, or with fine, or with both.",
265,"Fraudulent use of false weight or measure.—Whoever, fraudulently uses any false weight or
false measure of length or capacity, or fraudulently uses any weight or any measure of length or capacity
as a different weight or measure from what it is, shall be punished with imprisonment of either description
for a term which may extend to one year, or with fine, or with both.",
266,"Being in possession of false weight or measure.—Whoever is in possession of any instrument
for weighing, or of any weight, or of any measure of length or capacity, which he knows to be false, intending that the same may be fraudulently used, shall be punished with imprisonment of either
description for a term which may extend to one year, or with fine, or with both.",
267,"Making or selling false weight or measure.—Whoever makes, sells or disposes of any
instrument for weighing, or any weight, or any measure of length or capacity which he knows to be false,
in order that the same may be used as true, or knowing that the same is likely to be used as true, shall be
punished with imprisonment of either description for a term which may extend to one year, or with fine,
or with both.",
268,"Public nuisance.—A person is guilty of a public nuisance who does any act or is guilty of an
illegal omission which causes any common injury, danger or annoyance to the public or to the people in
general who dwell or occupy property in the vicinity, or which must necessarily cause injury, obstruction,
danger or annoyance to persons who may have occasion to use any public right.
A common nuisance is not excused on the ground that it causes some convenience or advantage.",
269,"Negligent act likely to spread infection of disease dangerous to life.—Whoever unlawfully or
negligently does any act which is, and which he knows or has reason to believe to be, likely to spread the
infection of any disease dangerous to life, shall be punished with imprisonment of either description for a
term which may extend to six months, or with fine, or with both.",
270,"Malignant act likely to spread infection of disease dangerous to life.—Whoever malignantly
does any act which is, and which he knows or has reason the believe to be, likely to spread the infection
of any disease dangerous to life, shall be punished with imprisonment of either description for a term
which may extend to two years, or with fine, or with both.",
271,"Disobedience to quarantine rule.—Whoever knowingly disobeys any rule made and
promulgated 2 [by the 3 *** Government 4 ***] for putting any vessel into a state of quarantine, or for
regulating the intercourse of vessels in a state of quarantine with the shore or with other vessels, for
regulating the intercourse between places where an infectious disease prevails and other places, shall be
punished with imprisonment of either description for a term which may extend to six months, or with
fine, or with both.",
272,"Adulteration of food or drink intended for sale.—Whoever adulterates any article of food or
drink, so as to make such article noxious as food or drink, intending to sell such article as food or drink,
or knowing it to be likely that the same will be sold as food or drink, shall be punished with imprisonment
of either description for a term which may extend to six months, or with fine which may extend to one
thousand rupees, or with both.",
273,"Sale of noxious food or drink.—Whoever sells, or offers or exposes for sale, as food or drink,
any article which has been rendered or has become noxious, or is in a state unfit for food or drink,
knowing or having reason to believe that the same is noxious as food or drink, shall be punished with
imprisonment of either description for a term which may extend to six months, or with fine which may
extend to one thousand rupees, or with both.",
274,"Adulteration of drugs.—Whoever adulterates any drug or medical preparation in such a manner
as to lessen the efficacy or change the operation of such drug or medical preparation, or to make it
noxious, intending that it shall be sold or used for, or knowing it to be likely that it will be sold or used
for, any medicinal purpose, as if it had not undergone such adulteration, shall be punished with
imprisonment of either description for a term which may extend to six months, or with fine which may
extend to one thousand rupees, or with both.",
275,"Sale of adulterated drugs.—Whoever, knowing any drug or medical preparation to have been
adulterated in such a manner as to lessen its efficacy, to change its operation, or to render it noxious, sells the same, or offers or exposes it for sale, or issues it from any dispensary for medicinal purposes as
unadulterated, or causes it to be used for medicinal purposes by any person not knowing of the
adulteration, shall be punished with imprisonment of either description for a term which may extend to
six months, or with fine which may extend to one thousand rupees, or with both.",
276,"Sale of drug as a different drug or preparation.—Whoever knowingly sells, or offers or
exposes for sale, or issues from a dispensary for medicinal purposes, any drug or medical preparation, as a
different drug or medical preparation, shall be punished with imprisonment of either description for a
term which may extend to six months, or with fine which may extend to one thousand rupees, or with
Both.",
277,"Fouling water of public spring or reservoir.—Whoever voluntarily corrupts or fouls the water
of any public spring or reservoir, so as to render it less fit for the purpose for which it is ordinarily used,
shall be punished with imprisonment of either description for a term which may extend to three months,
or with fine which may extend to five hundred rupees, or with both.",
278,"Making atmosphere noxious to health.—Whoever voluntarily vitiates the atmosphere in any
place so as to make it noxious to the health of persons in general dwelling or carrying on business in the
neighbourhood or passing along a public way, shall be punished with fine which may extend to five
hundred rupees.",
279,"Rash driving or riding on a public way.—Whoever drives any vehicle, or rides, on any public
way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to
any other person, shall be punished with imprisonment of either description for a term which may extend
to six months, or with fine which may extend to one thousand rupees, or with both.",
280,"Rash navigation of vessel.—Whoever navigates any vessel in a manner so rash or negligent as
to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with
imprisonment of either description for a term which may extend to six months, or with fine which may
extend to one thousand rupees, or with both",
281,"Exhibition of false light, mark or buoy.—Whoever exhibits any false light, mark or buoy,
intending or knowing it to be likely that such exhibition will mislead any navigator, shall be punished
with imprisonment of either description for a term which may extend to seven years, or with fine, or with
Both",
282,"Conveying person by water for hire in unsafe or overloaded vessel.—Whoever knowingly or
negligently conveys, or causes to be conveyed for hire, any person by water in any vessel, when that
vessel is in such a state or so loaded as to endanger the life of that person, shall be punished with
imprisonment of either description for a term which may extend to six months, or with fine which may
extend to one thousand rupees, or with both",
283,"Danger or obstruction in public way or line of navigation.—Whoever, by doing any act, or
by omitting to take order with any property in his possession or under his charge, causes danger,
obstruction or injury to any person in any public way or public line of navigation, shall be punished, with
fine which may extend to two hundred rupees",
284,"Negligent conduct with respect to poisonous substance.—Whoever does, with any poisonous
substance, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt
or injury to any person,
or knowingly or negligently omits to take such order with any poisonous substance in his possession
as is sufficient to guard against any probable danger to human life from such poisonous substance,
shall be punished with imprisonment of either description for a term which may extend to six months,
or with fine which may extend to one thousand rupees, or with both.",
285,"Negligent conduct with respect to fire or combustible matter.—Whoever does, with fire or
any combustible matter, any act so rashly or negligently as to endanger human life, or to be likely to
cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any fire or any combustible matter in his
possession as is sufficient to guard against any probable danger to human life from such fire or
combustible matter,
shall be punished with imprisonment of either description for a term which may extend to six months,
or with fine which may extend to one thousand rupees, or with both.",
286,"Negligent conduct with respect to explosive substance.—Whoever does, with any explosive
substance, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or
injury to any other person,
or knowingly or negligently omits to take such order with any explosive substance in his possession
as is sufficient to guard against any probable danger to human life from that substance,
shall be punished with imprisonment of either description for a term which may extend to six months,
or with fine which may extend to one thousand rupees, or with both.",
287,"Negligent conduct with respect to machinery.—Whoever does, with any machinery, any act
so rashly or negligently as to endanger human life or to be likely to cause hurt or injury to any other
person,
or knowingly or negligently omits to take such order with any machinery in his possession or under
his care as is sufficient to guard against any probable danger to human life from such machinery,
shall be punished with imprisonment of either description for a term which may extend to six months,
or with fine which may extend to one thousand rupees, or with both.",
288,"Negligent conduct with respect to pulling down or repairing buildings.—Whoever, in
pulling down or repairing any building, knowingly or negligently omits to take such order with that
building as is sufficient to guard against any probable danger to human life from the fall of that building,
or of any part thereof, shall be punished with imprisonment of either description for a term which may
extend to six months, or with fine which may extend to one thousand rupees, or with both.",
289,"Negligent conduct with respect to animal.—Whoever knowingly or negligently omits to take
such order with any animal in his possession as is sufficient to guard against any probable danger to
human life, or any probable danger of grievous hurt from such animal, shall be punished with
imprisonment of either description for a term which may extend to six months, or with fine which may
extend to one thousand rupees, or with both.",
290,"Punishment for public nuisance in cases not otherwise provided for.—Whoever commits a
public nuisance in any case not otherwise punishable by this Code, shall be punished with fine which may
extend to two hundred rupees.",
291,"Continuance of nuisance after injunction to discontinue.—Whoever repeats or continues a
public nuisance, having been enjoined by any public servant who has lawful authority to issue such
injunction not to repeat or continue such nuisance, shall be punished with simple imprisonment for a term
which may extend to six months, or with fine, or with both.",
292,"Sale, etc., of obscene books, etc.— 2 [(1) For the purposes of sub-section (2), a book, pamphlet,
paper, writing, drawing, painting, representation, figure or any other object, shall be deemed to be
obscene if it is lascivious or appeals to the prurient interest or if its effect, or (where it comprises two or
more distinct items) the effect of any one of its items, is, if taken as a whole, such as to tend to deprave
and corrupt persons who are likely, having regard to all relevant circumstances, to read, see or hear the
matter contained or embodied in it.]
3
[(2)] Whoever—
(a) sells, lets to hire, distributes, publicity exhibits or in any manner puts into circulation, or for
purposes of sale, hire, distribution, public exhibition or circulation, makes, produces or has in his possession any obscene book, pamphlet, paper, drawing, painting, representation or figure or any
other obscene object whatsoever, or
(b) imports, exports or conveys any obscene object for any of the purposes aforesaid, or knowing
or having reason to believe that such object will be sold, let to hire, distributed or publicly exhibited
or in any manner put into circulation, or
(c) takes part in or receives profits from any business in the course of which he knows or has
reason to believe that any such obscene objects are, for any of the purposes aforesaid, made,
produced, purchased, kept, imported, exported, conveyed, publicly exhibited or in any manner put
into circulation, or
(d) advertises or makes known by any means whatsoever that any person is engaged or is ready to
engage in any act which is an offence under this section, or that any such obscene object can be
procured from or through any person, or
(e) offers or attempts to do any act which is an offence under this section, shall be punished 1 [on first conviction with imprisonment of either description for a term which may
extend to two years, and with fine which may extend to two thousand rupees, and, in the event of a
second or subsequent conviction, with imprisonment of either description for a term which may extend to
five years, and also with fine which may extend to five thousand rupees].
2
[Exception.—This section does not extend to—
(a) any book, pamphlet, paper, writing, drawing, painting, representation or figure—
(i) the publication of which is proved to be justified as being for the public good on the
ground that such book, pamphlet, paper, writing, drawing, painting, representation or figure is in
the interest of science, literature, art or learning or other objects of general concern, or
(ii) which is kept or used bona fide for religious purposes;
(b) any representation sculptured, engraved, painted or otherwise represented on or in—
(i) any ancient monument within the meaning of the Ancient Monuments and Archaeological
Sites and Remains Act, 1958 (24 of 1958), or
(ii) any temple, or on any car used for the conveyance of idols, or kept or used for any
religious purpose.]]",
293,"Sale, etc., of obscene objects to young person.—Whoever sells, lets to hire, distributes,
exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to
in the last preceding section, or offers or attempts so to do, shall be punished 1 [on first conviction with
imprisonment of either description for a term which may extend to three years, and with fine which may
extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment
of either description for a term which may extend to seven years, and also with fine which may extend to
five thousand rupees].]",
294,"Obscene acts and songs.—Whoever, to the annoyance of others,
(a) does any obscene act in any public place, or
(b) sings, recites or utters any obscene song, ballad or words, in or near any public place,
shall be punished with imprisonment of either description for a term which may extend to three months,
or with fine, or with both.]",
294A,"Keeping lottery office.—Whoever keeps any office or place for the purpose of drawing any
lottery 6 [not being 7 [a State lottery] or a lottery authorised by the 8 [State] Government], shall be punished punished with imprisonment of either description for a term which may extend to six months, or with
fine, or with both.
And whoever publishes any proposal to pay any sum, or to deliver any goods, or to do or forbear
doing anything for the benefit of any person, on any event or contingency relative or applicable to the
drawing of any ticket, lot, number or figure in any such lottery, shall be punished with fine which may
extend to one thousand rupees.]",
295,"Injuring or defiling place of worship, with intent to insult the religion of any class.—
Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of
persons with the intention of thereby insulting the religion of any class of persons or with the knowledge
that any class of persons is likely to consider such destruction, damage or defilement as an insult to their
religion, shall be punished with imprisonment of either description for a term which may extend to two
years, or with fine, or with both.",
295A,"Deliberate and malicious acts, intended to outrage religious feelings of any class by
insulting its religion or religious beliefs.—Whoever, with deliberate and malicious intention of
outraging the religious feelings of any class of 2 [citizens of India], 3 [by words, either spoken or written, or
or by signs or by visible representations or otherwise], insults or attempts to insult the religion or the
religious beliefs of that class, shall be punished with imprisonment of either description for a term which
may extend to 4 [three years], or with fine, or with both.",
296,"Disturbing religious assembly.—Whoever voluntarily causes disturbance to any assembly
lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with
imprisonment of either description for a term which may extend to one year, or with fine, or with both.",
297,"Trespassing on burial places, etc.—Whoever, with the intention of wounding the feelings of
any person, or of insulting the religion of any person or with the knowledge that the feelings of any
person are likely to be wounded, or that the religion of any person is likely to be insulted thereby,
commits any trespass in any place of worship or on any place of sepulture, or any place set apart for
the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to
any human corpse, or causes disturbance to any persons assembled for the performance of funeral
ceremonies,
shall be punished with imprisonment of either description for a term which may extend to one year, or
with fine, or with both.",
298,"Uttering words, etc., with deliberate intent to wound religious feelings.—Whoever, with the
deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound
in the hearing of that person or makes any gesture in the sight of that persons or places any object in the
sight of that person, shall be punished with imprisonment of either description for a term which may
extend to one year, or with fine, or with both.",
299,"Culpable homicide.—Whoever causes death by doing an act with the intention of causing
death, or with the intention of causing such bodily injury as is likely to cause death, or with the
knowledge that he is likely by such act to cause death, commits the offence of culpable homicide. Explanation 1.—A person who causes bodily injury to another who is labouring under a disorder,
disease or bodily infirmity, and thereby accelerates the death of that other, shall be deemed to have caused
his death.
Explanation 2.—Where death is caused by bodily injury, the person who causes such bodily injury
shall be deemed to have caused the death, although by resorting to proper remedies and skilful treatment
the death might have been prevented.
Explanation 3.—The causing of the death of a child in the mother's womb is not homicide. But it may
amount to culpable homicide to cause the death of a living child, if any part of that child has been brought
forth, though the child may not have breathed or been completely born.",
300,"Murder.—Except in the cases hereinafter excepted, culpable homicide is murder, if the act by
which the death is caused is done with the intention of causing death, or—
2ndly.—If it is done with the intention of causing such bodily injury as the offender knows to be
likely to cause the death of the person to whom the harm is caused, or—
3rdly.—If it is done with the intention of causing bodily injury to any person and the bodily injury
intended to be inflicted is sufficient in the ordinary course of nature to cause death, or—
4thly.—If the person committing the act knows that it is so imminently dangerous that it must, in all
probability, cause death, or such bodily injury as is likely to cause death, and commits such act without
any excuse for incurring the risk of causing death or such injury as aforesaid. Exception 1.—When culpable homicide is not murder.—Culpable homicide is not murder if the
offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death
of the person who gave the provocation or causes the death of any other person by mistake or accident.
Explanation.—Whether the provocation was grave and sudden enough to prevent the offence from
amounting to murder is a question of fact. Exception 2.—Culpable homicide is not murder if the offender in the exercise in good faith of the
right of private defence of person or property, exceeds the power given to him by law and causes the
death of the person against whom he is exercising such right of defence without premeditation, and
without any intention of doing more harm than is necessary for the purpose of such defence.Exception 3.—Culpable homicide is not murder if the offender, being a public servant or aiding a
public servant acting for the advancement of public justice, exceeds the powers given to him by law, and
causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due
discharge of his duty as such public servant and without ill-will towards the person whose death is
caused.
Exception 4.—Culpable homicide is not murder if it is committed without premeditation in a sudden
fight in the heat of passion upon a sudden quarrel and without the offender's having taken undue
advantage or acted in a cruel or unusual manner. Exception 3.—Culpable homicide is not murder if the offender, being a public servant or aiding a
public servant acting for the advancement of public justice, exceeds the powers given to him by law, and
causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due
discharge of his duty as such public servant and without ill-will towards the person whose death is
caused.
Exception 4.—Culpable homicide is not murder if it is committed without premeditation in a sudden
fight in the heat of passion upon a sudden quarrel and without the offender's having taken undue
advantage or acted in a cruel or unusual manner.",
301,"Culpable homicide by causing death of person other than person whose death was
intended.—If a person, by doing anything which he intends or knows to be likely to cause death,
commits culpable homicide by causing the death of any person, whose death he neither intends nor knows
himself to be likely to cause, the culpable homicide committed by the offender is of the description of
which it would have been if he had caused the death of the person whose death he intended or knew
himself to he likely to cause.",
302,"Punishment for murder.—Whoever commits murder shall be punished with death or
[imprisonment for life], and shall also be liable to fine.",
303,"Punishment for murder by life-convict.—Whoever, being under sentence of 1 [imprisonment
for life], commits murder, shall be punished with death.",
304,"Punishment for culpable homicide not amounting to murder.—Whoever commits culpable
homicide not amounting to murder, shall be punished with 1 [imprisonment for life], or imprisonment of
either description for a term which may extend to ten years, and shall also be liable to fine, if the act by
which the death is caused is done with the intention of causing death, or of causing such bodily injury as
is likely to cause death; or with imprisonment of either description for a term which may extend to ten years, or with fine, or
with both, if the act is done with the knowledge that it is likely to cause death, but without any intention
to cause death, or to cause such bodily injury as is likely to cause death.",
304A," Causing death by negligence.—Whoever causes the death of any person by doing any rash
or negligent act not amounting to culpable homicide, shall be punished with imprisonment of either
description for a term which may extend to two years, or with fine, or with both",
304B,"Dowry death .—(1) Where the death of a woman is caused by any burns or bodily injury or
occurs otherwise than under normal circumstances within seven years of her marriage and it is shown that
soon before her death she was subjected to cruelty or harassment by her husband or any relative of her
husband for, or in connection with, any demand for dowry, such death shall be called “dowry death”, and
such husband or relative shall be deemed to have caused her death.
Explanation.—For the purposes of this sub-section, “dowry” shall have the same meaning as in
section 2 of the Dowry Prohibition Act, 1961 (28 of 1961).
(2) Whoever commits dowry death shall be punished with imprisonment for a term which shall not be
less than seven years but which may extend to imprisonment for life.]",
305,"Abetment of suicide of child or insane person .—If any person under eighteen years of age,
any insane person, any delirious person, any idiot, or any person in a state of intoxication, commits
suicide, whoever abets the commission of such suicide, shall be punished with death or 1 [imprisonment
for life], or imprisonment for a term not exceeding ten years, and shall also be liable to fine.",
306,"Abetment of suicide.—If any person commits suicide, whoever abets the commission of such
suicide, shall be punished with imprisonment of either description for a term which may extend to ten
years, and shall also be liable to fine.",
307,"Attempt to murder.—Whoever does any act with such intention or knowledge, and under such
circumstances that, if he by that act caused death, he would be guilty of murder, shall be punished with
imprisonment of either description for a term which may extend to ten years, and shall also be liable to
fine; and if hurt is caused to any person by such act, the offender shall be liable either to 1 [imprisonment
for life], or to such punishment as is hereinbefore mentioned.
Attempts by life-convicts.— 4 [When any person offending under this section is under sentence of
1
[imprisonment for life], he may, if hurt is caused, be punished with death.]",
308,"Attempt to commit culpable homicide.—Whoever does any act with such intention or
knowledge and under such circumstances that, if he by that act caused death, he would be guilty of
culpable homicide not amounting to murder, shall be punished with imprisonment of either description
for a term which may extend to three years, or with fine, or with both; and, if hurt is caused to any person
by such act, shall be punished with imprisonment of either description for a term which may extend to
seven years, or with fine, or with both.",
309,"Attempt to commit suicide.—Whoever attempts to commit suicide and does any act towards
the commission of such offence, shall be punished with simple imprisonment for a term which may
extend to one year 2 [or with fine, or with both.]",
310,"Thug.—Whoever, at any time after the passing of this Act, shall have been habitually associated
with any other or others for the purpose of committing robbery or child-stealing by means of or
accompanied with murder, is a thug.",
311,"Punishment.—Whoever is a thug, shall be punished with 3 [imprisonment for life], and shall also
be liable to fine.
Of the causing of miscarriage, of injuries to unborn children, of the exposure
Of infants, and of the concealment of births.",
312,"Causing miscarraige.—Whoever voluntarily causes a woman with child to miscarry, shall, if
such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished
with imprisonment of either description for a term which may extend to three years, or with fine, or with
both; and, if the woman be quick with child, shall be punished with imprisonment of either description for
a term which may extend to seven years, and shall also be liable to fine.
Explanation.—A woman who causes herself to miscarry, is within the meaning of this section.",
313,"Causing miscarriage without woman's consent.—Whoever commits the offence defined in
the last preceding section without the consent of the woman, whether the woman is quick with child or
not, shall be punished with 3 [imprisonment for life], or with imprisonment of either description for a term
which may extend to ten years, and shall also be liable to fine.",
314,"Death caused by act done with intent to cause miscarriage.—Whoever, with intent to cause
the miscarriage of a woman with child, does any act which causes the death of such woman, shall be
punished with imprisonment of either description for a term which may extend to ten years, and shall also
be liable to fine;
if act done without woman's consent.—and if the act is done without the consent of the woman,
shall be punished either with 3 [imprisonment for life], or with the punishment above mentioned.
Explanation.—It is not essential to this offence that the offender should know that the act is likely to
cause death.",
315,"Act done with intent to prevent child being born alive or to cause it to die after birth.—
Whoever before the birth of any child does any act with the intention of thereby preventing that child
from being born alive or causing it to die after its birth, and does by such act prevent that child from being born alive, or causes it to die after its birth, shall, if such act be not caused in good faith for the purpose of
saving the life of the mother, be punished with imprisonment of either description for a term which may
extend to ten years, or with fine, or with both.",
316,"Causing death of quick unborn child by act amounting to culpable homicide.—Whoever
does any act under such circumstances, that if he thereby caused death he would be guilty of culpable
homicide, and does by such act cause the death of a quick unborn child, shall be punished with
imprisonment of either description for a term which may extend to ten years, and shall also be liable to
Fine.",
317,"Exposure and abandonment of child under twelve years, by parent or person having care
of it.—Whoever being the father or mother of a child under the age of twelve years, or having the care of
such child, shall expose or leave such child in any place with the intention of wholly abandoning such
child, shall be punished with imprisonment of either description for a term which may extend to seven
years, or with fine, or with both.
Explanation.—This section is not intended to prevent the trial of the offender for murder or culpable
homicide, as the case may be, if the child die in consequence of the exposure.",
318,"Concealment of birth by secret disposal of dead body.—Whoever, by secretly burying or
otherwise disposing of the dead body of a child whether such child die before or after or during its birth,
intentionally conceals or endeavors to conceal the birth of such child, shall be punished with
imprisonment of either description for a term which may extend to two years, or with fine, or with both.",
319,"Hurt.—Whoever causes bodily pain, disease or infirmity to any person is said to cause hurt.",
320,"Grievous hurt.—The following kinds of hurt only are designated as “grievous”:—
First.—Emasculation.
Secondly.—Permanent privation of the sight of either eye.
Thirdly.—Permanent privation of the hearing of either ear.
Fourthly.—Privation of any member or joint.
Fifthly.—Destruction or permanent impairing of the powers of any member or joint.
Sixthly.—Permanent disfiguration of the head or face.
Seventhly.—Fracture or dislocation of a bone or tooth.
Eighthly.—Any hurt which endangers life or which causes the sufferer to be during the space of
twenty days in severe bodily pain, or unable to follow his ordinary pursuits.",
321,"Voluntarily causing hurt.—Whoever does any act with the intention of thereby causing hurt to
any person, or with the knowledge that he is likely thereby to cause hurt to any person, and does thereby
cause hurt to any person, is said “voluntarily to cause hurt”.",
322,"Voluntarily causing grievous hurt.—Whoever voluntarily causes hurt, if the hurt which he
intends to cause or knows himself to be likely to cause is grievous hurt, and if the hurt which he causes is
grievous hurt, is said “voluntarily to cause grievous hurt”.
Explanation.—A person is not said voluntarily to cause grievous hurt except when he both causes
grievous hurt and intends or knows himself to be likely to cause grievous hurt. But he is said voluntarily
to cause grievous hurt, if intending or knowing himself to be likely to cause grievous hurt of one kind, he
actually causes grievous hurt of another kind.",
323,"Punishment for voluntarily causing hurt.—Whoever, except in the case provided for by
section 334, voluntarily causes hurt, shall be punished with imprisonment of either description for a term
which may extend to one year, or with fine which may extend to one thousand rupees, or with both.",
324,"Voluntarily causing hurt by dangerous weapons or means.—Whoever, except in the case
provided for by section 334, voluntarily causes hurt by means of any instrument for shooting, stabbing or
cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire
or any heated substance, or by means of any poison or any corrosive substance, or by means of any
explosive substance or by means of any substance which it is deleterious to the human body to inhale, to
swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment of
either description for a term which may extend to three years, or with fine, or with both.",
325,"Punishment for voluntarily causing grievous hurt.—Whoever, except in the case provided for
by section 335, voluntarily causes grievous hurt, shall be punished with imprisonment of either
description for a term which may extend to seven years, and shall also be liable to fine.",
326,"Voluntarily causing grievous hurt by dangerous weapons or means.—Whoever, except in
the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for
shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause
death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance,
or by means of any explosive substance, or by means of any substance which it is deleterious to the
human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be
punished with 1 [imprisonment for life], or with imprisonment of either description for a term which may
extend to ten years, and shall also be liable to fine.",
326A,"Voluntarily causing grievous hurt by use of acid, etc.—Whoever causes permanent or
partial damage or deformity to, or burns or maims or disfigures or disables, any part or parts of the body
of a person or causes grievous hurt by throwing acid on or by administering acid to that person, or by
using any other means with the intention of causing or with the knowledge that he is likely to cause such
injury or hurt, shall be punished with imprisonment of either description for a term which shall not be less
than ten years but which may extend to imprisonment for life, and with fine:
Provided that such fine shall be just and reasonable to meet the medical expenses of the treatment of
the victim:
Provided further that any fine imposed under this section shall be paid to the victim.",
326B,"Voluntarily throwing or attempting to throw acid.—Whoever throws or attempts to throw
acid on any person or attempts to administer acid to any person, or attempts to use any other means, with
the intention of causing permanent or partial damage or deformity or burns or maiming or disfigurement
or disability or grievous hurt to that person, shall be punished with imprisonment of either description for
a term which shall not be less than five years but which may extend to seven years, and shall also be
liable to fine.
Explanation 1.—For the purposes of section 326A and this section, ""acid"" includes any substance
which has acidic or corrosive character or burning nature, that is capable of causing bodily injury leading
to scars or disfigurement or temporary or permanent disability.
Explanation 2.—For the purposes of section 326A and this section, permanent or partial damage or
deformity shall not be required to be irreversible.]",
